id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
1302,e,,f,s,w,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1303,e,,x,f,n,t,f,c,n,,,b,s,w,p,w,t,p,n,d,
1304,e,,f,s,g,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1305,e,,f,s,g,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1306,e,,f,f,n,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1307,e,,f,s,w,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1308,e,,f,s,w,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1309,e,,f,s,g,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1310,e,,f,f,w,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1311,e,,f,s,n,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1312,p,,f,s,w,t,f,c,k,,,e,s,w,p,w,t,p,n,g,
1313,e,,x,f,g,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1314,e,,b,y,y,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
1315,e,,f,f,n,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1316,e,,f,s,g,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1317,e,,x,f,n,t,f,c,n,,,b,s,w,p,w,t,p,k,d,
1318,e,,b,s,y,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
1319,e,,x,s,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1320,e,,f,f,n,t,f,c,n,,,b,s,w,p,w,t,p,n,d,
1321,p,,x,s,w,t,f,c,n,,,e,s,w,p,w,t,p,n,g,
1322,e,,f,f,w,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1323,p,,f,y,w,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
1324,e,,x,s,n,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1325,e,,f,s,n,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1326,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
1327,e,,f,s,g,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1328,e,,x,s,g,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1329,e,,f,f,g,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1330,e,,x,f,g,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1331,e,,f,s,w,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1332,p,,f,s,n,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
1333,e,,f,f,g,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1334,e,,f,s,w,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1335,e,,x,f,n,t,f,c,n,,,b,s,p,p,w,t,p,k,d,
1336,e,,x,s,n,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1337,e,,x,f,e,t,f,c,u,,,b,s,w,p,w,t,p,n,d,
1338,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
1339,e,,f,f,w,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1340,e,,x,s,w,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1341,e,,f,f,n,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1342,p,,f,s,w,t,f,c,w,,,e,s,w,p,w,t,p,k,u,
1343,e,,f,f,g,t,f,c,n,,,b,s,w,p,w,t,p,n,d,
1344,e,,f,s,w,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1345,e,,f,f,w,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1346,p,,f,y,n,t,f,c,k,,,e,s,w,p,w,t,p,n,g,
1347,e,,x,s,w,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1348,e,,x,f,n,t,f,c,p,,,b,s,g,p,w,t,p,n,d,
1349,e,,x,y,g,t,f,c,u,,,b,s,w,p,w,t,p,n,d,
1350,e,,x,y,g,t,f,c,p,,,b,s,w,p,w,t,p,n,d,
1351,e,,f,s,n,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1352,e,,f,s,w,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1353,e,,f,s,n,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1354,e,,x,s,n,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1355,e,,f,f,w,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1356,e,,x,f,n,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1357,e,,f,f,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1358,e,,f,f,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1359,e,,f,s,w,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1360,e,,f,f,n,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1361,p,,f,y,n,t,f,c,w,,,e,s,w,p,w,t,p,k,u,
1362,e,,f,f,w,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1363,e,,f,s,w,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1364,e,,x,f,n,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1365,e,,f,f,w,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1366,e,,x,f,g,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1367,e,,f,s,n,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1368,e,,x,f,g,t,f,c,n,,,b,s,g,p,w,t,p,k,d,
1369,e,,f,f,w,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1370,e,,f,f,n,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1371,e,,x,s,n,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1372,e,,x,f,w,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1373,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
1374,p,,x,y,n,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
1375,p,,f,s,n,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
1376,e,,f,f,w,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1377,e,,f,f,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1378,p,,f,y,n,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
1379,e,,f,f,n,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1380,p,,x,s,w,t,f,c,n,,,e,s,w,p,w,t,p,n,u,
1381,e,,f,s,n,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1382,p,,f,y,w,t,f,c,n,,,e,s,w,p,w,t,p,n,u,
1383,e,,f,s,n,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1384,e,,f,s,g,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1385,e,,x,f,g,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1386,e,,f,f,n,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1387,e,,x,f,g,t,f,c,w,,,b,s,w,p,w,t,p,n,d,
1388,e,,x,f,n,t,f,c,p,,,b,s,g,p,w,t,p,k,d,
1389,e,,x,f,n,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1390,e,,x,f,g,t,f,c,w,,,b,s,g,p,w,t,p,k,d,
1391,e,,x,s,w,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1392,e,,f,s,w,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1393,e,,x,s,w,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1394,e,,f,f,g,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1395,e,,x,f,n,t,f,c,p,,,b,s,w,p,w,t,p,n,d,
1396,e,,x,s,w,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1397,e,,x,s,n,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1398,e,,f,s,g,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1399,p,,f,y,w,t,f,c,k,,,e,s,w,p,w,t,p,n,g,
1400,e,,f,s,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1401,e,,f,y,y,t,f,c,p,,,r,s,w,p,w,t,p,n,g,
1402,e,,x,f,g,t,f,c,n,,,b,s,g,p,w,t,p,k,d,
1403,e,,f,s,g,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1404,e,,x,s,g,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1405,p,,f,y,w,t,f,c,p,,,e,s,w,p,w,t,p,n,u,
1406,e,,x,s,w,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1407,e,,x,s,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1408,e,,f,s,g,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1409,e,,f,s,n,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1410,e,,x,f,n,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1411,e,,f,s,n,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1412,e,,f,s,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1413,e,,x,f,w,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1414,e,,f,f,w,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1415,e,,f,f,n,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1416,e,,x,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
1417,e,,x,s,n,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1418,e,,x,s,g,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1419,e,,f,s,w,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1420,p,,x,s,w,t,f,c,w,,,e,s,w,p,w,t,p,n,u,
1421,e,,x,s,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1422,e,,x,f,n,t,f,c,n,,,b,s,g,p,w,t,p,n,d,
1423,e,,f,f,g,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1424,e,,x,s,g,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1425,e,,f,f,n,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1426,e,,f,s,n,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1427,e,,x,s,g,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1428,e,,f,y,n,t,f,c,n,,,r,s,w,p,w,t,p,k,p,
1429,p,,f,y,n,t,f,c,p,,,e,s,w,p,w,t,p,k,u,
1430,e,,x,s,n,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1431,e,,x,f,n,t,f,c,p,,,b,s,w,p,w,t,p,k,d,
1432,p,,f,y,w,t,f,c,w,,,e,s,w,p,w,t,p,k,g,
1433,p,,x,s,w,t,f,c,p,,,e,s,w,p,w,t,p,k,u,
1434,p,,f,s,n,t,f,c,p,,,e,s,w,p,w,t,p,n,u,
1435,e,,x,f,n,t,f,c,u,,,b,s,g,p,w,t,p,k,d,
1436,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
1437,p,,f,y,w,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
1438,e,,f,f,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1439,e,,x,s,w,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1440,e,,x,f,n,t,f,c,n,,,b,s,g,p,w,t,p,k,d,
1441,e,,x,s,n,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1442,e,,f,f,n,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1443,e,,f,f,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1444,p,,f,y,n,t,f,c,p,,,e,s,w,p,w,t,p,n,u,
1445,p,,f,y,w,t,f,c,w,,,e,s,w,p,w,t,p,k,g,
1446,e,,x,s,n,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1447,e,,f,f,g,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1448,e,,x,f,n,t,f,c,n,,,b,s,p,p,w,t,p,k,d,
1449,e,,f,s,g,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1450,e,,f,f,n,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1451,p,,f,s,n,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
1452,e,,x,f,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1453,p,,f,y,n,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
1454,e,,x,s,g,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1455,e,,f,f,w,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1456,e,,x,s,w,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1457,e,,x,f,n,t,f,c,n,,,b,s,p,p,w,t,p,n,d,
1458,e,,x,s,n,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1459,p,,f,s,w,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
1460,e,,x,f,n,t,f,c,p,,,b,s,w,p,w,t,p,n,d,
1461,e,,x,s,w,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1462,e,,f,s,w,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1463,e,,x,s,w,t,f,w,n,,,b,s,w,p,w,t,p,u,d,
1464,e,,x,f,n,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1465,e,,x,y,g,t,f,c,p,,,b,s,g,p,w,t,p,k,d,
1466,e,,x,f,n,t,f,c,n,,,b,s,g,p,w,t,p,n,d,
1467,e,,x,s,y,t,f,w,p,,,b,s,w,p,w,t,p,u,d,
1468,e,,f,f,g,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1469,e,,x,s,n,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1470,e,,x,y,e,t,f,c,u,,,b,s,g,p,w,t,p,n,d,
1471,e,,f,s,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1472,p,,f,s,w,t,f,c,n,,,e,s,w,p,w,t,p,k,u,
1473,e,,f,f,w,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1474,e,,x,f,g,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1475,e,,f,f,n,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1476,e,,f,s,n,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1477,e,,x,f,w,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1478,p,,f,y,w,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
1479,e,,x,f,w,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1480,e,,f,s,n,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1481,e,,x,s,n,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1482,e,,x,f,g,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1483,e,,x,s,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1484,e,,f,y,y,t,f,c,n,,,r,s,w,p,w,t,p,k,g,
1485,p,,x,y,n,t,f,c,n,,,e,s,w,p,w,t,p,k,u,
1486,e,,x,f,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1487,e,,f,s,w,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1488,e,,x,s,n,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1489,p,,f,y,n,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
1490,e,,f,f,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1491,p,,f,s,w,t,f,c,p,,,e,s,w,p,w,t,p,n,u,
1492,e,,f,s,n,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1493,e,,x,s,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1494,e,,x,f,g,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1495,e,,f,f,n,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1496,e,,f,s,g,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1497,e,,x,s,w,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1498,e,,x,f,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1499,e,,x,f,g,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1500,e,,f,f,n,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1501,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
1502,e,,f,f,g,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1503,e,,x,f,g,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1504,e,,f,f,w,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1505,e,,x,f,n,t,f,c,p,,,b,s,p,p,w,t,p,n,d,
1506,p,,f,s,n,t,f,c,w,,,e,s,w,p,w,t,p,k,u,
1507,e,,x,f,n,t,f,c,p,,,b,s,p,p,w,t,p,n,d,
1508,e,,x,f,n,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1509,e,,x,f,n,t,f,c,p,,,b,s,w,p,w,t,p,k,d,
1510,e,,x,f,w,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1511,e,,f,s,g,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1512,e,,f,s,n,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1513,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
1514,e,,x,f,w,t,f,w,p,,,b,s,w,p,w,t,p,u,d,
1515,e,,f,f,g,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1516,e,,f,f,n,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1517,e,,f,f,n,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1518,e,,b,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
1519,e,,x,f,n,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1520,e,,x,y,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
1521,e,,f,s,w,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1522,e,,x,s,w,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1523,e,,x,f,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1524,e,,x,s,n,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1525,e,,x,s,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1526,e,,x,y,n,t,f,c,w,,,b,s,w,p,w,t,p,n,d,
1527,e,,f,s,g,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1528,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
1529,e,,x,s,w,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1530,p,,f,y,w,t,f,c,n,,,e,s,w,p,w,t,p,k,u,
1531,e,,f,s,w,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1532,p,,f,s,w,t,f,c,n,,,e,s,w,p,w,t,p,n,u,
1533,e,,f,s,g,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1534,e,,f,f,g,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1535,p,,x,s,w,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
1536,e,,x,s,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1537,p,,x,s,w,t,f,c,p,,,e,s,w,p,w,t,p,n,u,
1538,e,,x,s,g,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1539,e,,f,s,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1540,p,,f,y,w,t,f,c,w,,,e,s,w,p,w,t,p,n,g,
1541,e,,x,f,w,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1542,e,,x,s,n,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1543,e,,x,f,w,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1544,e,,x,f,w,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1545,e,,x,y,e,t,f,c,u,,,b,s,g,p,w,t,p,k,d,
1546,p,,f,s,n,t,f,c,k,,,e,s,w,p,w,t,p,k,u,
1547,e,,f,f,g,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1548,e,,x,y,y,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
1549,e,,x,f,n,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1550,e,,f,f,n,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1551,e,,b,s,w,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
1552,e,,f,s,g,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1553,e,,f,f,w,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1554,e,,f,f,n,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1555,p,,f,s,n,t,f,c,w,,,e,s,w,p,w,t,p,n,u,
1556,e,,x,s,n,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1557,e,,b,y,y,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
1558,e,,f,s,g,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1559,e,,f,s,n,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1560,e,,x,f,g,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1561,e,,f,s,g,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1562,e,,x,f,n,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1563,e,,x,f,n,t,f,c,p,,,b,s,p,p,w,t,p,n,d,
1564,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
1565,e,,x,f,g,t,f,c,n,,,b,s,g,p,w,t,p,n,d,
1566,p,,f,y,n,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
1567,e,,x,s,w,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1568,p,,f,s,n,t,f,c,k,,,e,s,w,p,w,t,p,k,u,
1569,e,,f,s,n,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1570,e,,f,f,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1571,e,,x,f,w,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1572,e,,x,f,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1573,e,,f,s,n,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1574,e,,x,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
1575,e,,f,s,w,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1576,e,,x,s,w,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1577,p,,x,y,n,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
1578,e,,f,f,g,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1579,p,,f,y,n,t,f,c,n,,,e,s,w,p,w,t,p,k,g,
1580,e,,f,f,w,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1581,e,,x,f,n,t,f,c,p,,,b,s,p,p,w,t,p,k,d,
1582,e,,x,f,g,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1583,p,,f,s,n,t,f,c,w,,,e,s,w,p,w,t,p,n,u,
1584,e,,f,s,g,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1585,p,,x,s,w,t,f,c,w,,,e,s,w,p,w,t,p,n,u,
1586,e,,x,f,n,t,f,c,p,,,b,s,g,p,w,t,p,n,d,
1587,e,,x,f,n,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1588,e,,x,y,y,t,f,c,n,,,r,s,w,p,w,t,p,n,p,
1589,e,,f,f,w,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1590,e,,f,s,w,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1591,e,,x,f,g,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1592,e,,f,f,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1593,e,,f,f,w,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1594,e,,x,f,g,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1595,e,,f,f,g,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1596,e,,x,f,g,t,f,c,w,,,b,s,w,p,w,t,p,n,d,
1597,e,,x,s,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1598,e,,f,s,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
1599,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,n,g,
1600,e,,x,y,g,t,f,c,n,,,b,s,p,p,w,t,p,k,d,
1601,e,,f,s,g,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1602,e,,f,f,w,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1603,e,,f,s,n,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1604,e,,f,f,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
1605,e,,f,f,n,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1606,e,,f,s,g,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1607,e,,x,s,n,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
1608,e,,x,f,n,t,f,c,p,,,b,s,w,p,w,t,p,n,d,
1609,e,,x,s,n,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
1610,e,,x,f,n,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
1611,e,,f,s,w,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1612,e,,x,f,n,f,f,c,p,,,e,s,w,p,w,t,p,k,u,
1613,p,,f,s,w,t,f,c,p,,,e,s,w,p,w,t,p,k,u,
1614,p,,f,s,n,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
1615,e,,x,f,n,t,f,c,u,,,b,s,w,p,w,t,p,k,d,
1616,e,,x,s,w,f,f,w,n,,,e,f,w,p,w,t,e,n,g,
1617,e,,f,f,g,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
1618,e,,x,s,n,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1619,e,,x,f,n,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1620,e,,x,s,g,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1621,e,,f,f,g,f,f,w,n,,,e,f,w,p,w,t,e,k,g,
1622,e,,f,s,n,f,f,w,p,,,e,s,w,p,w,t,e,n,g,
1623,e,,f,s,g,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
1624,e,,x,f,e,t,f,c,n,,,b,s,p,p,w,t,p,k,d,
1625,p,,f,y,w,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
1626,e,,x,f,n,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1627,e,,x,f,n,t,f,c,n,,,b,s,w,p,w,t,p,n,d,
1628,p,,f,s,n,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
1629,p,,f,s,w,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
1630,p,,f,s,w,t,f,c,n,,,e,s,w,p,w,t,p,k,u,
1631,e,,f,f,w,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
1632,e,,f,s,n,f,f,w,h,,,e,f,w,p,w,t,e,n,g,
1633,e,,f,f,n,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
1634,e,,x,s,n,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
1635,e,,f,s,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
1636,p,,f,s,w,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
1637,p,,f,s,w,t,f,c,n,,,e,s,w,p,w,t,p,k,g,
1638,e,,f,s,g,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
1639,e,,x,s,n,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
